player_id,player_name,team,fga_rim,fgm_rim,fga_paint_non_ra,fgm_paint_non_ra,fga_midrange,fgm_midrange,fga_corner3,fgm_corner3,fga_above_break3,fgm_above_break3,total_fga,total_fgm,assisted_fgm,unassisted_fgm,ppg,rpg,apg
1642419,Jamison Battle,TOR,38,25,15,10,7,4,30.0,14.0,54,21,144.0,74.0,68.0,6.0,3.1,1.5,0.4
1641716,Jarace Walker,IND,164,96,144,51,69,27,57.0,23.0,299,110,733.0,307.0,236.0,71.0,11.6,5.1,2.5
1642272,Jared McCain,OKC,97,52,81,36,45,17,61.0,24.0,196,75,480.0,204.0,125.0,79.0,8.3,2.0,1.3
1628991,Jaren Jackson Jr.,UTA,139,86,287,148,58,24,55.0,20.0,180,64,719.0,342.0,232.0,110.0,19.4,5.7,2.0
1629020,Jarred Vanderbilt,LAL,120,76,19,7,2,1,93.0,29.0,6,0,240.0,113.0,86.0,27.0,4.4,4.5,1.3
1628386,Jarrett Allen,CLE,285,221,202,100,31,15,6.0,0.0,4,1,528.0,337.0,276.0,61.0,15.4,8.5,1.8
1642859,Jase Richardson,ORL,50,34,48,21,11,6,31.0,13.0,48,15,188.0,89.0,61.0,28.0,4.4,1.2,1.1
1642914,Javon Small,MEM,64,44,61,24,20,5,12.0,6.0,131,55,288.0,134.0,57.0,77.0,9.7,3.1,3.7
1631451,Javonte Cooke,POR,7,2,10,4,1,0,5.0,0.0,18,3,41.0,9.0,5.0,4.0,1.2,1.0,0.4
1629750,Javonte Green,DET,118,72,35,16,14,3,100.0,50.0,147,44,414.0,185.0,158.0,27.0,6.9,2.8,0.7
1629637,Jaxson Hayes,LAL,210,165,49,30,0,0,0.0,0.0,3,3,262.0,198.0,161.0,37.0,7.5,4.1,0.9
1630643,Jay Huff,IND,181,137,49,29,8,6,48.0,13.0,325,106,611.0,291.0,257.0,34.0,9.5,4.0,1.5
1627759,Jaylen Brown,BOS,346,238,427,207,366,151,50.0,19.0,354,121,1543.0,736.0,268.0,468.0,28.7,6.9,5.1
1641740,Jaylen Clark,MIN,75,47,44,17,8,2,60.0,19.0,40,14,227.0,99.0,65.0,34.0,4.0,1.8,0.6
1642377,Jaylen Wells,MEM,130,76,102,48,101,48,130.0,47.0,235,82,698.0,301.0,234.0,67.0,12.5,3.2,1.6
1631119,Jaylin Williams,OKC,47,29,32,13,17,9,54.0,24.0,202,74,352.0,149.0,144.0,5.0,7.2,5.5,2.4
1642281,Jaylon Tyson,CLE,217,128,125,56,30,13,119.0,53.0,179,80,670.0,330.0,271.0,59.0,13.2,5.1,2.2
1643257,Jayson Kent,POR,3,3,0,0,0,0,1.0,0.0,3,1,7.0,4.0,3.0,1.0,2.0,1.0,0.0
1628369,Jayson Tatum,BOS,62,38,45,20,37,13,12.0,6.0,131,41,287.0,118.0,42.0,76.0,21.8,10.0,5.3
201145,Jeff Green,HOU,10,7,5,3,9,3,15.0,4.0,29,8,68.0,25.0,18.0,7.0,2.2,0.8,0.3
203924,Jerami Grant,POR,232,149,97,30,51,16,142.0,61.0,208,75,730.0,331.0,225.0,106.0,18.6,3.5,2.1
1642847,Jeremiah Fears,NOP,399,229,202,76,99,31,42.0,19.0,264,82,1006.0,437.0,194.0,243.0,14.3,3.7,3.4
1630526,Jeremiah Robinson-Earl,DAL,44,21,8,3,7,3,24.0,5.0,17,5,100.0,37.0,23.0,14.0,4.6,4.7,0.7
1631110,Jeremy Sochan,NYK,63,42,18,11,3,0,24.0,8.0,21,3,129.0,64.0,52.0,12.0,3.6,2.4,0.9
1630579,Jericho Sims,MIL,163,136,20,9,2,0,0.0,0.0,0,0,185.0,145.0,118.0,27.0,5.0,5.5,1.6
1641724,Jett Howard,ORL,48,29,44,17,14,5,46.0,20.0,99,34,251.0,105.0,84.0,21.0,5.5,1.6,0.8
1628975,Jevon Carter,ORL,25,10,24,9,43,26,68.0,26.0,147,52,307.0,123.0,85.0,38.0,6.4,1.7,1.6
202710,Jimmy Butler III,GSW,198,138,109,47,70,23,38.0,16.0,47,16,462.0,240.0,128.0,112.0,20.0,5.6,4.9
1642866,Joan Beringer,MIN,86,60,12,5,0,0,0.0,0.0,0,0,98.0,65.0,48.0,17.0,3.9,2.3,0.3
1629111,Jock Landale,ATL,209,134,121,66,25,8,56.0,23.0,137,51,548.0,282.0,217.0,65.0,10.6,5.7,1.7
204060,Joe Ingles,MIN,8,7,0,0,3,2,3.0,1.0,13,6,27.0,16.0,12.0,4.0,1.5,0.7,1.3
203954,Joel Embiid,PHI,176,120,148,69,214,99,8.0,2.0,151,51,697.0,341.0,221.0,120.0,26.9,7.7,3.9
1628381,John Collins,LAC,243,183,136,61,61,31,133.0,57.0,86,32,659.0,364.0,286.0,78.0,13.6,5.3,1.0
1629723,John Konchar,UTA,76,54,17,9,7,3,48.0,13.0,51,15,199.0,94.0,73.0,21.0,4.4,4.3,2.1
1642967,John Poulakidas,DAL,2,1,5,3,7,4,14.0,8.0,63,23,91.0,39.0,37.0,2.0,8.8,2.3,0.8
1642910,John Tonje,BOS,3,0,1,1,0,0,2.0,1.0,8,2,14.0,4.0,4.0,0.0,2.5,1.0,0.3
1641780,Johni Broome,PHI,10,3,7,1,2,0,1.0,0.0,4,0,24.0,4.0,1.0,3.0,0.9,1.5,0.4
1642277,Johnny Furphy,IND,62,43,13,4,3,0,30.0,10.0,41,13,149.0,70.0,58.0,12.0,5.1,4.4,1.2
1630548,Johnny Juzang,MIN,5,4,6,4,3,2,10.0,2.0,14,4,38.0,16.0,6.0,10.0,2.0,0.8,0.3
202685,Jonas Valanciunas,DEN,163,109,134,80,67,30,1.0,1.0,25,7,390.0,227.0,130.0,97.0,8.7,5.1,1.2
1628371,Jonathan Isaac,ORL,51,33,11,4,9,2,27.0,6.0,11,1,109.0,46.0,32.0,14.0,2.6,2.5,0.4
1630228,Jonathan Kuminga,ATL,117,71,82,41,35,10,47.0,16.0,57,18,338.0,156.0,88.0,68.0,12.2,5.6,2.3
1642367,Jonathan Mogbo,TOR,30,18,12,7,1,1,1.0,0.0,0,0,44.0,26.0,19.0,7.0,1.5,1.7,0.6
203903,Jordan Clarkson,NYK,115,71,150,78,47,18,84.0,27.0,130,43,526.0,237.0,152.0,85.0,8.6,1.8,1.3
1630692,Jordan Goodwin,PHX,145,82,75,24,33,11,106.0,37.0,196,75,555.0,229.0,150.0,79.0,8.7,4.9,2.2
1641722,Jordan Hawkins,NOP,31,19,27,8,64,20,27.0,14.0,108,33,257.0,94.0,70.0,24.0,5.1,1.7,0.8
1629162,Jordan McLaughlin,SAS,20,13,13,2,6,1,19.0,7.0,21,10,79.0,33.0,20.0,13.0,2.0,0.7,0.9
1641757,Jordan Miller,LAC,159,115,115,53,15,6,39.0,13.0,71,25,399.0,212.0,116.0,96.0,10.0,3.0,2.3
1629673,Jordan Poole,NOP,88,44,48,19,20,6,30.0,14.0,258,82,444.0,165.0,95.0,70.0,13.4,2.0,3.1
1641775,Jordan Walsh,BOS,104,76,32,11,6,1,47.0,18.0,78,30,267.0,136.0,101.0,35.0,5.4,4.0,0.8
1630631,Jose Alvarado,NYK,74,50,76,32,12,4,78.0,29.0,209,72,449.0,187.0,122.0,65.0,7.4,2.5,3.4
1630581,Josh Giddey,CHI,221,127,171,81,42,10,38.0,13.0,245,90,717.0,321.0,154.0,167.0,17.0,8.3,9.1
1630182,Josh Green,CHA,30,19,11,5,2,1,84.0,38.0,54,20,181.0,83.0,76.0,7.0,4.3,1.8,0.8
